Date,Names,Site_Code,Lat_Start,Long_Start,Lat_End,Long_End,Compass_Bear_Deg,Quadrat_Dimen_m2,Cover_Method,Transect_Num,Quadrat_Num,Taxon_ID,Cover_Percent,Shoot_Count,Shoot_Number,Length_cm,Width_cm,Sediment_Type,Notes
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,3,Z. marina,15,0,NA,NA,NA,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,3,brown_algae,1,NA,NA,NA,NA,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,3,green_algae,3,NA,NA,NA,NA,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,3,red_algae,3,NA,NA,NA,NA,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,3,anemone_sp.,1,NA,NA,NA,NA,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,4,Z. marina,20,17,1,50,0.4,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,4,Z. marina,20,17,2,29,0.4,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,4,Z. marina,20,17,3,33,0.4,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,4,Z. marina,20,17,4,33,0.4,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,4,Z. marina,20,17,5,66,0.4,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,4,brown_algae,6,NA,NA,NA,NA,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,4,green_algae,1,NA,NA,NA,NA,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,4,anemone_sp.,1,NA,NA,NA,NA,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,5,green_algae,2,NA,NA,NA,NA,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,5,brown_algae,2,NA,NA,NA,NA,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,5,red_algae,2,NA,NA,NA,NA,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,6,Z. marina,10,32,1,68,0.6,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,6,Z. marina,10,32,2,37,0.4,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,6,Z. marina,10,32,3,47,0.4,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,6,Z. marina,10,32,4,32,0.4,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,6,Z. marina,10,32,5,66,0.4,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,6,brown_algae,1,NA,NA,NA,NA,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,6,green_algae,3,NA,NA,NA,NA,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,6,red_algae,2,NA,NA,NA,NA,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.608632,-151.423979,59.608632,-151.423979,NA,0.5,Percent_Bins,off,1,Z. marina,50,85,1,27,0.2,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.608632,-151.423979,59.608632,-151.423979,NA,0.5,Percent_Bins,off,1,Z. marina,50,85,2,76,0.4,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.608632,-151.423979,59.608632,-151.423979,NA,0.5,Percent_Bins,off,1,Z. marina,50,85,3,50,0.4,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.608632,-151.423979,59.608632,-151.423979,NA,0.5,Percent_Bins,off,1,Z. marina,50,85,4,58,0.2,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.608632,-151.423979,59.608632,-151.423979,NA,0.5,Percent_Bins,off,1,Z. marina,50,85,5,32,0.2,sandy_mud,
